,Year,boundary,quintile,statistics_canada_validation
1,1971,3910,1,
2,1971,6980,2,
3,1971,9640,3,
4,1971,13330,4,
5,1981,10071,1,
6,1981,18126.8,2,
7,1981,26000,3,
8,1981,36712,4,
9,1986,13046,1,
10,1986,23952.2,2,
11,1986,35387,3,
12,1986,50346,4,
13,1991,17566,1,
14,1991,31739,2,
15,1991,47000,3,
16,1991,67500,4,
17,1996,17261.2,1,
18,1996,31965.4,2,
19,1996,49018,3,
20,1996,71981,4,
21,2001,20569,1,
22,2001,37664,2,
23,2001,57099.2,3,
24,2001,85000,4,
25,2006,24683,1,
26,2006,43124,2,
27,2006,65536,3,
28,2006,98494,4,
29,2011,27594,1,
30,2011,49006,2,
31,2011,75111,3,
32,2011,114211,4,
33,2016,32533,1,
34,2016,56618,2,
35,2016,86040,3,
36,2016,130914,4,